index,Linienverkehr zu 2019,Linienverkehr zu 2019 in %
2020-Jan,13043.0,0.6123643800462079
2020-Feb,-25937.0,-1.2779107241132792
2020-Mrz,-1535139.0,-63.46683589623802
2020-Apr,-2690966.0,-99.21712971651417
2020-Mai,-2662617.0,-98.44946593742698
2020-Jun,-2672690.0,-93.04805499001525
2020-Jul,-2436443.0,-78.05084555726052
2020-Aug,-2367512.0,-76.68263687174
2020-Sep,-2335092.0,-81.45955823099834
2020-Okt,-2371004.0,-83.7224247894231
2020-Nov,-1984194.0,-89.07429254811966
2020-Dez,-1976439.0,-84.84056435633363
2021-Jan,-1844259.0,-86.58732800579922
2021-Feb,-1839816.0,-90.64736078942039
2021-Mrz,-2194223.0,-90.71516720033239
2021-Apr,-2390399.0,-88.13508890756172
2021-Mai,-2258732.0,-83.51593905386179
2021-Jun,-2257089.0,-78.5791623380783
2021-Jul,-1772382.0,-56.777816575421014
2021-Aug,-1505825.0,-48.772986860209315
2021-Sep,-1498301.0,-52.268149416409734
